profile,topology,seed,random_index,n_nodes,n_dampers,damping_trace,calibration_minimum_visibility,unseen_minimum_visibility,unseen_minimum_decay_rate,unseen_all_observable,damping_nodes
paper,sparse_25,29,4,25,5,0.1,0.0962908681246371,0.09585138671810357,9.16405347821253e-05,True,"4,11,19,20,23"
paper,sparse_25,29,5,25,5,0.1,0.1053178282287402,0.10531605023486741,0.00011087757373334783,True,"2,4,14,21,24"
paper,sparse_25,29,6,25,5,0.1,0.10058219269451621,0.10041203030058153,0.00010078922824177661,True,"1,4,12,21,22"
paper,sparse_25,29,7,25,5,0.1,0.05423457010683425,0.05371169539679168,2.8847001453558008e-05,True,"11,12,14,16,17"
paper,sparse_25,29,8,25,5,0.1,0.10030348374139385,0.10010826479574554,0.0001001943701757213,True,"12,13,16,21,22"
paper,sparse_25,29,9,25,5,0.1,0.09488607132370179,0.0943852180992233,8.768416756912978e-05,True,"13,19,20,21,24"
paper,sparse_25,29,10,25,5,0.1,0.15683403883355565,0.15664982015802906,0.0002408861112742633,True,"3,4,10,15,22"
paper,sparse_25,29,11,25,5,0.1,0.13933326302329638,0.13934722159921414,0.00019412812297253668,True,"2,13,14,21,23"
paper,sparse_25,29,12,25,5,0.1,0.09012821918553772,0.09010761823128702,8.117911393901167e-05,True,"1,12,21,23,24"
paper,sparse_25,29,13,25,5,0.1,0.1859728181140413,0.18666267759148567,0.0003482343664531484,True,"1,2,3,6,24"
paper,sparse_25,29,14,25,5,0.1,0.1972659559450594,0.1972600097254717,0.00038902824728248575,True,"2,10,17,18,22"
paper,sparse_25,29,15,25,5,0.1,0.07602145299340789,0.07534169211045615,5.650147483529655e-05,True,"3,12,14,16,19"
paper,sparse_25,29,16,25,5,0.1,0.13669702983806195,0.13673385193281248,0.0001867292784338559,True,"4,6,11,19,20"
paper,sparse_25,29,17,25,5,0.1,0.123808409600104,0.1233896725214282,0.00015187837694888295,True,"11,12,17,19,22"
paper,sparse_25,29,18,25,5,0.1,0.1617685848309049,0.16160698112135594,0.000254621758164042,True,"4,10,11,23,24"
paper,sparse_25,29,19,25,5,0.1,0.20208631504245173,0.2021007125104853,0.000408373560849995,True,"2,3,18,19,22"
paper,sparse_25,29,20,25,5,0.1,0.10961157625183045,0.10939309197209054,0.0001196510961645747,True,"3,4,16,21,22"
