profile,topology,seed,strategy,n_nodes,n_input_nodes,n_readout_nodes,n_dampers,damping_trace,readout_nodes,damping_nodes,calibration_minimum_visibility,unseen_minimum_visibility,unseen_minimum_decay_rate,unseen_all_observable,plus_converged,minus_converged,minimum_phase_convergence_fraction,total_active_sample_steps,dynamic_vs_exact_centered_gradient_error,dynamic_vs_implicit_gradient_error,dynamic_vs_implicit_cosine,exact_centered_vs_implicit_error,free_exact_residual,plus_exact_residual,minus_exact_residual
paper,sparse_16,71,topology_only,16,4,4,4,0.1,"14,15,12,13","14,15,12,13",0.13626988833895642,0.1365597677645436,0.00023281186980783283,True,True,True,1.0,2554600,0.0003743840712497017,0.00038762407550125915,0.9999999346078013,7.72265528745614e-05,2.1971964955323139e-13,1.6000781874577125e-16,1.4296479124179332e-16
paper,sparse_16,71,random_0,16,4,4,4,0.1,"14,15,12,13","3,4,9,10",0.15946565213134056,0.15943391947433336,0.0003176023802022865,True,True,True,1.0,2281550,0.0001447126294431624,0.00017122398892042582,0.9999999902174065,7.72265528745614e-05,2.1971964955323139e-13,1.6000781874577125e-16,1.4296479124179332e-16
paper,sparse_16,97,calibration_modal,16,4,4,4,0.1,"15,1,4,7","4,7,10,13",0.29129385905511196,0.29084337755990813,0.0010563205909753515,True,True,True,1.0,560775,0.00040600859450946083,0.00040409268331110973,0.999999921250842,4.753300076475029e-05,4.580842339607649e-12,2.0766023972114993e-16,2.0546040243447817e-16
paper,sparse_16,97,topology_only,16,4,4,4,0.1,"15,1,4,7","15,1,4,7",0.1635900445850717,0.1601891634898675,0.00031986723142540113,True,True,True,1.0,790500,0.0003742808251485272,0.00038135945846265896,0.9999999319669841,4.753300076475029e-05,4.580842339607649e-12,2.0766023972114993e-16,2.0546040243447817e-16
paper,sparse_16,97,random_0,16,4,4,4,0.1,"15,1,4,7","7,10,12,14",0.2468719713123021,0.24659840892854182,0.0007593861799420065,True,True,True,1.0,814525,0.00019373009626754494,0.0002029628402657422,0.9999999811150178,4.753300076475029e-05,4.580842339607649e-12,2.0766023972114993e-16,2.0546040243447817e-16
paper,sparse_25,17,calibration_modal,25,5,5,5,0.1,"23,3,10,18,21","3,4,9,20,21",0.3018866563949732,0.30232103921255465,0.0009139018223625062,True,True,True,1.0,824875,0.0009158718709685002,0.0009175364669245275,0.9999995879802069,2.2149469783290652e-05,1.2937416163986e-13,1.7404170359480215e-16,2.649814952041091e-16
paper,sparse_25,17,topology_only,25,5,5,5,0.1,"23,3,10,18,21","23,3,10,18,21",0.14545260787469957,0.14572994739249306,0.00021225407922409456,True,True,True,1.0,1938175,0.00033935368571535475,0.000341368345211441,0.9999999432838798,2.2149469783290652e-05,1.2937416163986e-13,1.7404170359480215e-16,2.649814952041091e-16
paper,sparse_25,17,random_0,25,5,5,5,0.1,"23,3,10,18,21","2,4,10,21,23",0.1676848218892672,0.16769157873712937,0.0002811260563233553,True,True,True,1.0,1853425,0.0009132011640006205,0.0009163786563258224,0.9999996216890545,2.2149469783290652e-05,1.2937416163986e-13,1.7404170359480215e-16,2.649814952041091e-16
paper,sparse_25,29,calibration_modal,25,5,5,5,0.1,"17,18,20,22,24","3,6,11,15,22",0.25349777192782136,0.2535294415726521,0.0006413202942664453,True,True,True,1.0,1044375,0.001050497016989332,0.0010507180348749785,0.9999994480126115,2.7310107135529114e-05,4.203280745074234e-13,1.6130654839256062e-16,1.752377628467098e-16
paper,sparse_25,29,topology_only,25,5,5,5,0.1,"17,18,20,22,24","17,18,20,22,24",0.1254228650806325,0.12524122625328424,0.00015638512791693593,True,True,True,1.0,2287300,0.0025973127300381585,0.002596156861402432,0.999996689377493,2.7310107135529114e-05,4.203280745074234e-13,1.6130654839256062e-16,1.752377628467098e-16
