profile,dataset,seed,chain_size,support_width,damping_trace,dt,physical_time,steps_per_phase,dynamic_vs_exact_centered_gradient_error,plus_state_vs_exact_error,minus_state_vs_exact_error,plus_residual,minus_residual,plus_velocity_norm,minus_velocity_norm,maximum_relative_split_energy_balance_error,median_relative_split_energy_balance_error,mean_dissipated_energy_two_phases,free_exact_residual,plus_exact_residual,minus_exact_residual,gradient_difference_vs_finest_dt,plus_state_difference_vs_finest_dt,minus_state_difference_vs_finest_dt
paper,moons,29,17,6,5.0,0.05,1200.0,24000,0.06921889791797022,8.378857295105424e-06,8.753230630910819e-06,6.188531988683762e-06,6.418341462572441e-06,2.828728622745162e-06,2.9074122296063148e-06,0.0004460103842870565,0.0004241534462895249,0.0018110039733761768,1.1796627845463135e-16,2.0395546045548944e-16,3.361084092008002e-16,0.0,0.0,0.0
paper,moons,29,17,8,5.0,0.2,1200.0,6000,0.0036230766791567164,3.7444593863029024e-07,3.7714933665498224e-07,6.804602248338777e-07,6.735675113691482e-07,4.883741341848634e-07,4.868823908600156e-07,0.0071365418559541614,0.006786858015611977,0.0017995068450231432,1.1796627845463135e-16,2.0395546045548944e-16,3.361084092008002e-16,0.0011420656624023223,2.90784897444411e-07,2.8889909322724257e-07
paper,moons,29,17,8,5.0,0.1,1200.0,12000,0.0033038426169641863,3.5776566488877076e-07,3.538200562788819e-07,9.489346330261464e-07,9.331125795453117e-07,4.080512808460036e-07,4.057474418469159e-07,0.001784135365678208,0.0016967143790501001,0.0018087045308375343,1.1796627845463135e-16,2.0395546045548944e-16,3.361084092008002e-16,0.0012586158859896296,3.4627621868350127e-07,3.415158440116411e-07
paper,moons,29,17,8,5.0,0.05,1200.0,24000,0.00284002310754451,3.4953697665499346e-07,3.4410767713005716e-07,9.553586444159702e-07,9.387620175394891e-07,3.778026545647675e-07,3.756250604534928e-07,0.0004460338348511219,0.000424178586523562,0.001811003952076794,1.1796627845463135e-16,2.0395546045548944e-16,3.361084092008002e-16,0.0,0.0,0.0
paper,moons,43,17,1,5.0,0.2,1200.0,6000,4.349089397043821,0.0007233041444850923,0.0007235512989724141,0.00042693892299458725,0.00042705477337349557,0.00045855950355009267,0.00046070834806067034,0.0068309842964695295,0.006481118622411774,0.0018837373685950218,1.6784395347452852e-16,1.6774426194076306e-16,2.3339365093378384e-16,0.2441644271799255,0.0002530329231513676,0.00025374584863244355
paper,moons,43,17,1,5.0,0.1,1200.0,12000,4.215168445185096,0.0006581909420511734,0.0006591519788462084,0.00037483887911323284,0.0003770327108768148,0.0004737696343396154,0.0004741556778695947,0.0017078209653866075,0.001620303710086334,0.0018929249923842863,1.6784395347452852e-16,1.6774426194076306e-16,2.3339365093378384e-16,0.22962227739872632,0.00016863189770456656,0.00016896865742026214
paper,moons,43,17,1,5.0,0.05,1200.0,24000,3.8548796069230478,0.0006410437695270461,0.0006421529923227097,0.0003824037482996124,0.0003845081704747279,0.00047661296601542115,0.00047650870705872336,0.00042695607279164916,0.00040507821278218533,0.0018952219861497594,1.6784395347452852e-16,1.6774426194076306e-16,2.3339365093378384e-16,0.0,0.0,0.0
paper,moons,43,17,6,5.0,0.2,1200.0,6000,0.03990495878984573,5.112939308597196e-06,4.9465084940215025e-06,2.226638033542387e-06,2.2372279549474304e-06,2.07940516561938e-05,2.1620839539934696e-05,0.006832216949447557,0.006482375010468941,0.0018839333345753195,1.6784395347452852e-16,1.6774426194076306e-16,2.3339365093378384e-16,0.06568095617498636,6.069891646927305e-06,6.2518660951040535e-06
paper,moons,43,17,6,5.0,0.1,1200.0,12000,0.04926853420528931,5.7608230542757075e-06,6.8983135771833014e-06,2.3830964576052625e-06,3.081807283090695e-06,2.058761586857694e-05,2.1075043800696733e-05,0.0017080537762127386,0.001620593279596951,0.0018931253579531609,1.6784395347452852e-16,1.6774426194076306e-16,2.3339365093378384e-16,0.01283555744227747,1.3214560556020648e-06,1.3413846440920149e-06
paper,moons,43,17,6,5.0,0.05,1200.0,24000,0.058138585472473074,6.464478519931285e-06,7.777068738855747e-06,2.8694256888915085e-06,3.6241397073939913e-06,2.037862488784895e-05,2.077700004197965e-05,0.00042701341509386695,0.0004051482898409531,0.0018954233629487126,1.6784395347452852e-16,1.6774426194076306e-16,2.3339365093378384e-16,0.0,0.0,0.0
