profile,seed,chain_size,variant,eta,n_damped,base_damping_trace,slow_mode_index,slow_mode_frequency,first_order_decay_coefficient,first_order_predicted_decay_rate,exact_decay_rate,relative_prediction_error,exact_free_residual
paper,29,3,single_terminal,0.003,1,0.7,2,1.8990507311858489,0.049528138796398107,0.0001485844163891943,0.0001485841470627489,1.8126156964565927e-06,1.5769771845813174e-16
paper,29,3,single_terminal,0.01,1,0.7,2,1.8990507311858489,0.049528138796398107,0.0004952813879639811,0.0004952714130040999,2.013998531663887e-05,1.5769771845813174e-16
paper,29,3,single_terminal,0.03,1,0.7,2,1.8990507311858489,0.049528138796398107,0.001485844163891943,0.0014855748632465818,0.00018124420575564866,1.5769771845813174e-16
paper,29,3,paper_boundary,0.0001,1,0.7,2,1.8990507311858489,0.049528138796398107,4.952813879639811e-06,4.952813869800441e-06,1.986622237292884e-09,1.5769771845813174e-16
paper,29,3,paper_boundary,0.0003,1,0.7,2,1.8990507311858489,0.049528138796398107,1.4858441638919431e-05,1.4858441369686214e-05,1.8119882524366994e-08,1.5769771845813174e-16
paper,29,3,paper_boundary,0.001,1,0.7,2,1.8990507311858489,0.049528138796398107,4.9528138796398105e-05,4.952812882145683e-05,2.0139947752426845e-07,1.5769771845813174e-16
paper,29,3,paper_boundary,0.003,1,0.7,2,1.8990507311858489,0.049528138796398107,0.0001485844163891943,0.0001485841470627489,1.8126156964565927e-06,1.5769771845813174e-16
paper,29,3,paper_boundary,0.01,1,0.7,2,1.8990507311858489,0.049528138796398107,0.0004952813879639811,0.0004952714130040999,2.013998531663887e-05,1.5769771845813174e-16
paper,29,3,paper_boundary,0.03,1,0.7,2,1.8990507311858489,0.049528138796398107,0.001485844163891943,0.0014855748632465818,0.00018124420575564866,1.5769771845813174e-16
paper,29,3,uniform_trace,0.0001,3,0.7,2,1.8990507311858489,0.11666666666666667,1.1666666666666668e-05,1.1666666666610117e-05,4.847254944898809e-12,1.5769771845813174e-16
paper,29,3,uniform_trace,0.0003,3,0.7,2,1.8990507311858489,0.11666666666666667,3.5e-05,3.500000000003621e-05,1.0346386446004529e-12,1.5769771845813174e-16
paper,29,3,uniform_trace,0.001,3,0.7,2,1.8990507311858489,0.11666666666666667,0.00011666666666666667,0.0001166666666666162,4.3259666682171627e-13,1.5769771845813174e-16
paper,29,3,uniform_trace,0.003,3,0.7,2,1.8990507311858489,0.11666666666666667,0.00035,0.0003499999999999364,1.8168130690364238e-13,1.5769771845813174e-16
paper,29,3,uniform_trace,0.01,3,0.7,2,1.8990507311858489,0.11666666666666667,0.0011666666666666668,0.0011666666666665946,6.189245544645822e-14,1.5769771845813174e-16
paper,29,3,uniform_trace,0.03,3,0.7,2,1.8990507311858489,0.11666666666666667,0.0035,0.0035000000000000495,1.4125605447239715e-14,1.5769771845813174e-16
paper,29,5,single_terminal,0.0001,1,0.7,4,2.0026923758141577,0.007184948063643519,7.18494806364352e-07,7.18494804008695e-07,3.27859985186015e-09,2.044325800678625e-16
paper,29,5,single_terminal,0.0003,1,0.7,4,2.0026923758141577,0.007184948063643519,2.1554844190930557e-06,2.1554843600015924e-06,2.7414470194094762e-08,2.044325800678625e-16
paper,29,5,single_terminal,0.001,1,0.7,4,2.0026923758141577,0.007184948063643519,7.18494806364352e-06,7.184945881377703e-06,3.037274308809024e-07,2.044325800678625e-16
paper,29,5,single_terminal,0.003,1,0.7,4,2.0026923758141577,0.007184948063643519,2.155484419093056e-05,2.1554785274436206e-05,2.7333296326247805e-06,2.044325800678625e-16
paper,29,5,single_terminal,0.01,1,0.7,4,2.0026923758141577,0.007184948063643519,7.184948063643519e-05,7.184729860579796e-05,3.036946986816253e-05,2.044325800678625e-16
paper,29,5,single_terminal,0.03,1,0.7,4,2.0026923758141577,0.007184948063643519,0.00021554844190930557,0.00021548954025950307,0.0002732640945151647,2.044325800678625e-16
paper,29,5,paper_boundary,0.0001,2,0.7,4,2.0026923758141577,0.03714698887885822,3.7146988878858225e-06,3.714698882637579e-06,1.4128315182890657e-09,2.044325800678625e-16
paper,29,5,paper_boundary,0.0003,2,0.7,4,2.0026923758141577,0.03714698887885822,1.1144096663657466e-05,1.114409652671586e-05,1.2288264329469969e-08,2.044325800678625e-16
paper,29,5,paper_boundary,0.001,2,0.7,4,2.0026923758141577,0.03714698887885822,3.714698887885822e-05,3.71469838134612e-05,1.3636090501723411e-07,2.044325800678625e-16
paper,29,5,paper_boundary,0.003,2,0.7,4,2.0026923758141577,0.03714698887885822,0.00011144096663657466,0.00011144082987509744,1.2272100767965066e-06,2.044325800678625e-16
paper,29,5,paper_boundary,0.01,2,0.7,4,2.0026923758141577,0.03714698887885822,0.0003714698887885822,0.00037146482354694955,1.363567219181307e-05,2.044325800678625e-16
paper,29,5,paper_boundary,0.03,2,0.7,4,2.0026923758141577,0.03714698887885822,0.0011144096663657467,0.0011142729029064227,0.00012272278628913072,2.044325800678625e-16
paper,29,5,uniform_trace,0.0001,5,0.7,0,0.5787534582699929,0.06999999999999998,6.999999999999998e-06,6.999999999953618e-06,6.62573372283664e-12,2.044325800678625e-16
paper,29,5,uniform_trace,0.0003,5,0.7,0,0.5787534582699929,0.06999999999999998,2.0999999999999992e-05,2.0999999999889502e-05,5.261445989125714e-12,2.044325800678625e-16
paper,29,5,uniform_trace,0.001,5,0.7,0,0.5787534582699929,0.06999999999999998,6.999999999999998e-05,6.999999999993134e-05,9.806221435069789e-13,2.044325800678625e-16
paper,29,5,uniform_trace,0.003,5,0.7,0,0.5787534582699929,0.06999999999999998,0.00020999999999999995,0.00020999999999987847,5.784993020333372e-13,2.044325800678625e-16
paper,29,5,uniform_trace,0.01,5,0.7,0,0.5787534582699929,0.06999999999999998,0.0006999999999999998,0.0006999999999999229,1.0981419147031756e-13,2.044325800678625e-16
paper,29,5,uniform_trace,0.03,5,0.7,0,0.5787534582699929,0.06999999999999998,0.0020999999999999994,0.0020999999999999313,3.2422807824804616e-14,2.044325800678625e-16
paper,29,9,single_terminal,0.0001,1,0.7,8,2.0342930885481336,0.0035508904450505187,3.550890445050519e-07,3.550890427737028e-07,4.875816593967014e-09,2.144612190686178e-16
paper,29,9,single_terminal,0.0003,1,0.7,8,2.0342930885481336,0.0035508904450505187,1.0652671335151556e-06,1.0652670861393014e-06,4.4473214948185065e-08,2.144612190686178e-16
paper,29,9,single_terminal,0.001,1,0.7,8,2.0342930885481336,0.0035508904450505187,3.550890445050519e-06,3.550888689497593e-06,4.943979413136186e-07,2.144612190686178e-16
paper,29,9,single_terminal,0.003,1,0.7,8,2.0342930885481336,0.0035508904450505187,1.0652671335151557e-05,1.0652623934763114e-05,4.449624601307057e-06,2.144612190686178e-16
paper,29,9,single_terminal,0.01,1,0.7,8,2.0342930885481336,0.0035508904450505187,3.5508904450505185e-05,3.550714895221921e-05,4.9438255365601254e-05,2.144612190686178e-16
paper,29,9,single_terminal,0.03,1,0.7,8,2.0342930885481336,0.0035508904450505187,0.00010652671335151556,0.000106479332122697,0.00044478260267175133,2.144612190686178e-16
paper,29,9,paper_boundary,0.0001,3,0.7,8,2.0342930885481336,0.02541869837261721,2.5418698372617212e-06,2.541869826256705e-06,4.32949638631007e-09,2.144612190686178e-16
paper,29,9,paper_boundary,0.0003,3,0.7,8,2.0342930885481336,0.02541869837261721,7.625609511785163e-06,7.625609213693743e-06,3.909083199546309e-08,2.144612190686178e-16
paper,29,9,paper_boundary,0.001,3,0.7,8,2.0342930885481336,0.02541869837261721,2.5418698372617212e-05,2.541868733103598e-05,4.3438814497340185e-07,2.144612190686178e-16
paper,29,9,paper_boundary,0.003,3,0.7,8,2.0342930885481336,0.02541869837261721,7.625609511785163e-05,7.62557969935379e-05,3.9095145544465774e-06,2.144612190686178e-16
paper,29,9,paper_boundary,0.01,3,0.7,8,2.0342930885481336,0.02541869837261721,0.00025418698372617213,0.00025417594181273775,4.3440121411848895e-05,2.144612190686178e-16
paper,29,9,paper_boundary,0.03,3,0.7,8,2.0342930885481336,0.02541869837261721,0.0007625609511785163,0.0007622627552654956,0.00039104534865021885,2.144612190686178e-16
paper,29,9,uniform_trace,0.0001,9,0.7,1,0.614519372483752,0.038888888888888855,3.888888888888885e-06,3.888888888830776e-06,1.4942314614982326e-11,2.144612190686178e-16
paper,29,9,uniform_trace,0.0003,9,0.7,1,0.614519372483752,0.038888888888888855,1.1666666666666656e-05,1.1666666666580033e-05,7.424800404335002e-12,2.144612190686178e-16
paper,29,9,uniform_trace,0.001,9,0.7,1,0.614519372483752,0.038888888888888855,3.888888888888886e-05,3.888888888880995e-05,2.0291037265597032e-12,2.144612190686178e-16
paper,29,9,uniform_trace,0.003,9,0.7,1,0.614519372483752,0.038888888888888855,0.00011666666666666657,0.0001166666666666011,5.611907887797296e-13,2.144612190686178e-16
paper,29,9,uniform_trace,0.01,9,0.7,1,0.614519372483752,0.038888888888888855,0.00038888888888888854,0.00038888888888877204,2.9956506025774513e-13,2.144612190686178e-16
paper,29,9,uniform_trace,0.03,9,0.7,1,0.614519372483752,0.038888888888888855,0.0011666666666666657,0.0011666666666665382,1.0928757898653894e-13,2.144612190686178e-16
paper,29,17,single_terminal,0.0001,1,0.7,16,2.0514208945831847,9.476649490768082e-05,9.476649490768082e-09,9.476649407639658e-09,8.771921340322944e-09,7.392591886207284e-17
paper,29,17,single_terminal,0.0003,1,0.7,16,2.0514208945831847,9.476649490768082e-05,2.8429948472304242e-08,2.8429946979718554e-08,5.25004710887868e-08,7.392591886207284e-17
paper,29,17,single_terminal,0.001,1,0.7,16,2.0514208945831847,9.476649490768082e-05,9.476649490768082e-08,9.476644067087439e-08,5.723204860602839e-07,7.392591886207284e-17
paper,29,17,single_terminal,0.003,1,0.7,16,2.0514208945831847,9.476649490768082e-05,2.8429948472304247e-07,2.842980210970847e-07,5.148183645884667e-06,7.392591886207284e-17
paper,29,17,single_terminal,0.01,1,0.7,16,2.0514208945831847,9.476649490768082e-05,9.476649490768082e-07,9.476107444839066e-07,5.719805607918869e-05,7.392591886207284e-17
paper,29,17,single_terminal,0.03,1,0.7,16,2.0514208945831847,9.476649490768082e-05,2.8429948472304245e-06,2.841531991121249e-06,0.0005145475766868479,7.392591886207284e-17
paper,29,17,paper_boundary,0.0001,6,0.7,16,2.0514208945831847,0.003165420514255878,3.165420514255878e-07,3.1654204525903475e-07,1.9480991657581596e-08,7.392591886207284e-17
paper,29,17,paper_boundary,0.0003,6,0.7,16,2.0514208945831847,0.003165420514255878,9.496261542767632e-07,9.496259888177282e-07,1.7423597099163722e-07,7.392591886207284e-17
