profile,seed,chain_size,beta,requested_tolerance,plus_converged,minus_converged,both_converged,plus_steps,minus_steps,gradient_cosine,dynamic_vs_implicit_relative_error,dynamic_vs_centered_relative_error,exact_truncation_relative_error,state_error_bound_relative,residual_bound_relative,residual_relaxation_bound_relative,state_error_bound_holds,residual_bound_holds,plus_state_frobenius_error,minus_state_frobenius_error,plus_parameter_map_lipschitz,minus_parameter_map_lipschitz,plus_endpoint_curvature,minus_endpoint_curvature,minimum_endpoint_curvature,global_strong_convexity_lower_bound,floor_only_strong_convexity_margin,achieved_max_residual,achieved_max_velocity
paper,17,9,0.005,0.003,True,True,True,75,75,-0.9698611623320691,9.106586284155407,9.106622494554557,0.00026028178456423114,12.38515259597957,36.88238342776166,36.88212314597709,True,True,0.013903570539474431,0.0141573136948937,0.33857077086430787,0.3385673281578502,0.24409958273023535,0.24310291422860833,0.24310291422860833,0.20791398515282805,0.045000000000000005,0.002175431759098899,0.002892810166054758
paper,17,9,0.12,0.001,True,True,True,975,1000,0.9893860888802011,0.15543333105063642,0.027778752261592838,0.15275391980539582,0.28854654959058224,1.5474219270880107,1.3946680072826148,True,True,0.004072225235403802,0.003311895897270612,0.33857353654482797,0.33855957919406293,0.2535861201364963,0.23150766828765335,0.23150766828765335,0.09291398515282806,-0.06999999999999999,0.000938792473033678,0.0009727483759319206
paper,17,9,0.08,0.001,True,True,True,825,850,0.9977793949444882,0.0789338755257806,0.035786499260029664,0.06725071109946491,0.24160474598114093,1.3208009813650463,1.2535502702655814,True,True,0.0036152718379663202,0.002705384187792903,0.338571963054575,0.33856319963501535,0.25071554433114684,0.2352661434024958,0.2352661434024958,0.13291398515282804,-0.03,0.0008059878775505782,0.0009976599777414064
paper,17,9,0.05,0.001,True,True,True,675,775,0.9990164887159853,0.044340910643383684,0.03713383845633365,0.026126397130602545,0.3049762926521128,1.6874747491359994,1.6613483520053967,True,True,0.0036451161895666917,0.002672902634341096,0.338570549896771,0.3385645487712049,0.2482630495145249,0.23841084548236102,0.23841084548236102,0.16291398515282807,0.0,0.000796502369729367,0.0008657517583127922
paper,17,9,0.035,0.001,True,True,True,675,650,0.9986605758297299,0.07338168682102637,0.07103527900496262,0.012777481362291225,0.37434228039142475,2.102119098943712,2.089341617581421,True,True,0.0028390755591332023,0.002895417187736354,0.3385695386557152,0.33856590141402343,0.24693803790808447,0.23999949750240948,0.23999949750240948,0.17791398515282805,0.015,0.0007462488229829726,0.0009003941567682372
paper,17,9,0.02,0.001,True,True,True,525,575,0.995921973469533,0.27008484014630696,0.26951798842872005,0.004166946589225939,0.733868941585657,3.507544982828692,3.503378036239466,True,True,0.0037687383343448537,0.002844527926556086,0.33856873684693173,0.33856695136214215,0.24554894567344576,0.24156899827445313,0.24156899827445313,0.19291398515282807,0.030000000000000002,0.0008713348452032809,0.0009950731280819396
paper,17,9,0.01,0.001,True,True,True,400,425,0.992225555225692,0.27825326599899114,0.2781257180184267,0.0010412494451374603,1.3944585505202933,5.778336025101014,5.777294775655877,True,True,0.0033026387738087012,0.0030116131674451092,0.33856847945966984,0.33856703514705055,0.24458906318089776,0.24259639576009182,0.24259639576009182,0.20291398515282805,0.04,0.0007026194848732587,0.0009880150237267559
paper,17,9,0.005,0.001,True,True,True,300,300,0.9437823639897742,0.4275333701743883,0.4275235396848039,0.00026028178456423114,2.7083407046426964,10.742410709026188,10.742150427241624,True,True,0.003194347586402304,0.00294147036169156,0.3385679027695888,0.3385673506074092,0.24409958273023535,0.24310291422860833,0.24310291422860833,0.20791398515282805,0.045000000000000005,0.000633428839397631,0.000753540593206533
paper,17,9,0.12,0.0003,True,True,True,1350,1225,0.9897448461745538,0.15303265334721877,0.005607291322398552,0.15275391980539582,0.1926524086394972,0.5370388860410498,0.3842849662356539,True,True,0.0012127175931400229,0.0009568787335427849,0.33857353654482797,0.3385595609302329,0.2535861201364963,0.23150766828765335,0.23150766828765335,0.09291398515282806,-0.06999999999999999,0.0002465950536162891,0.00027892644255210215
paper,17,9,0.08,0.0003,True,True,True,1100,1100,0.9979031455904935,0.06739967102152192,0.002983393395239626,0.06725071109946491,0.12152995324817885,0.510332811972893,0.44308210087342814,True,True,0.0010795850853707902,0.0008881406550519676,0.338571889112515,0.3385626418210568,0.25071554433114684,0.2352661434024958,0.2352661434024958,0.13291398515282804,-0.03,0.00027058221733860377,0.00029255487542278997
paper,17,9,0.05,0.0003,True,True,True,950,1000,0.9995818921061127,0.028940247512613704,0.014392787290456423,0.026126397130602545,0.10992706041306395,0.62372085550132,0.5975944583707173,True,True,0.0010035843379229779,0.0008951247140808451,0.3385703095157385,0.3385645487712049,0.2482630495145249,0.23841084548236102,0.23841084548236102,0.16291398515282807,0.0,0.0002952416315459979,0.00027867246834508227
paper,17,9,0.035,0.0003,True,True,True,850,925,0.9998740660438118,0.022049986463076085,0.01678877992331149,0.012777481362291225,0.1268499935740153,0.6640723976103419,0.6512949162480507,True,True,0.0009447031360246788,0.0008645110504609254,0.3385695386557152,0.3385655113607149,0.24693803790808447,0.23999949750240948,0.23999949750240948,0.17791398515282805,0.015,0.00023572525063980275,0.0002816890555043982
paper,17,9,0.02,0.0003,True,True,True,775,775,0.999723797672614,0.04113984114176372,0.04046061326402716,0.004166946589225939,0.19323984772588068,1.0414769529332015,1.0373100063439755,True,True,0.0008765182266327153,0.0008370449441994706,0.33856873684693173,0.3385665957428504,0.24554894567344576,0.24156899827445313,0.24156899827445313,0.19291398515282807,0.030000000000000002,0.00023447741461624316,0.00027451457460848136
