profile,seed,chain_size,beta,steps,physical_time,dynamic_vs_implicit_relative_error,dynamic_vs_centered_relative_error,exact_truncation_relative_error,state_error_bound_relative,residual_bound_relative,residual_relaxation_bound_relative,state_error_bound_holds,residual_bound_holds,plus_state_frobenius_error,minus_state_frobenius_error,plus_parameter_map_lipschitz,minus_parameter_map_lipschitz,plus_endpoint_curvature,minus_endpoint_curvature,minimum_endpoint_curvature,global_strong_convexity_lower_bound,floor_only_strong_convexity_margin,achieved_max_residual,achieved_max_velocity
paper,29,5,0.035,100,20.0,0.23387755376119856,0.2349946917781987,0.003583939743157112,1.2972482823189229,3.964984813364549,3.961400873621392,True,True,0.054091478610967594,0.06308227056096337,0.3396393965532554,0.3396414909281816,0.2591881488853396,0.24480650813730923,0.24480650813730923,0.19345636990194923,0.015,0.00898252596585703,0.009934782239441572
paper,29,5,0.035,300,60.0,0.022159046077896122,0.024363658795361613,0.003583939743157112,0.05980495029569927,0.3626402272078527,0.3590562874646956,True,True,0.0032609635625572243,0.001831288514739556,0.3396394489654413,0.3396369409516995,0.2591881488853396,0.24480650813730923,0.24480650813730923,0.19345636990194923,0.015,0.000786709646778508,0.0006507653303537449
paper,29,5,0.035,900,180.0,0.00357605164787762,4.2327431153992564e-05,0.003583939743157112,0.003694027228765933,0.006759887794209953,0.003175948051052841,True,True,4.981484456340944e-06,4.989767880821856e-06,0.3396393965532554,0.3396369051814395,0.2591881488853396,0.24480650813730923,0.24480650813730923,0.19345636990194923,0.015,7.332037512553017e-06,3.873848695063793e-06
paper,29,5,0.035,2700,540.0,0.003583939733569229,4.2429776153885103e-11,0.003583939743157112,0.003583939915402776,0.003583946810484589,7.06732747669143e-09,True,True,5.4237362162873154e-12,1.0177554819429288e-11,0.3396393965532554,0.33963690396306995,0.2591881488853396,0.24480650813730923,0.24480650813730923,0.19345636990194923,0.015,2.4138882290257852e-11,9.703674835882426e-12
paper,29,5,0.035,8100,1620.0,0.003583939743123058,5.803686878250085e-14,0.003583939743157112,0.0035839397436679,0.0035839397432545737,9.746155819644036e-14,True,True,1.8759621297727468e-14,2.7505392290613436e-14,0.33963939655325553,0.3396369039630688,0.2591881488853396,0.24480650813730923,0.24480650813730923,0.19345636990194923,0.015,2.380556418436547e-16,3.136244283517499e-16
paper,29,9,0.035,100,20.0,7.861220941842628,7.859350520445046,0.013959852646503105,13.938353138932808,41.44914359078009,41.43518373813359,True,True,0.09449060331044798,0.10307154020591873,0.3408066571779188,0.3408240354185704,0.2558057234353482,0.24707278553882503,0.24707278553882503,0.18174861718297367,0.015,0.013505108027468555,0.016902492496239558
paper,29,9,0.035,300,60.0,2.4231645267476694,2.424621058309927,0.013959852646503105,3.948427731996523,13.291146998058613,13.277187145412109,True,True,0.02691384054452069,0.02890975836530968,0.34081194807291665,0.3408126026681422,0.2558057234353482,0.24707278553882503,0.24707278553882503,0.18174861718297367,0.015,0.004425778547920745,0.005711295522451356
paper,29,9,0.035,900,180.0,0.03286252855077053,0.02875452318463789,0.013959852646503105,0.14220215438589465,1.1552990150829916,1.1413391624364884,True,True,0.0007673177180053312,0.001052239313945669,0.34080712632775906,0.3408126026681422,0.2558057234353482,0.24707278553882503,0.24707278553882503,0.18174861718297367,0.015,0.000431939528889636,0.000383340174346382
paper,29,9,0.035,2700,540.0,0.01395915026869946,0.00017129140936849563,0.013959852646503105,0.014715964601456912,0.07364724353696278,0.05968739089045968,True,True,4.520554287161502e-06,6.207494045271747e-06,0.34080665954430117,0.3408126026681422,0.2558057234353482,0.24707278553882503,0.24707278553882503,0.18174861718297367,0.015,2.3340349341615525e-05,2.0357077107445664e-05
paper,29,9,0.035,8100,1620.0,0.013959850876781081,1.0533825784128822e-07,0.013959852646503105,0.013960381509646035,0.014007661537791562,4.780889128845721e-05,True,True,1.8419459299010253e-09,5.661773495801282e-09,0.3408066571789528,0.3408126026681422,0.2558057234353482,0.24707278553882503,0.24707278553882503,0.18174861718297367,0.015,2.3566613517458136e-08,1.395505172418899e-08
