dataset,seed,chain_size,support_width,damped_fraction,damping_trace,damping_per_node,budget_steps,physical_time,dt,dynamic_vs_implicit_relative_error,dynamic_vs_exact_centered_relative_error,exact_centered_vs_implicit_relative_error,dynamic_vs_implicit_cosine,plus_state_relative_error,minus_state_relative_error,plus_residual,minus_residual,plus_velocity_norm,minus_velocity_norm,mean_dissipated_energy_two_phases,minimum_eigenspace_visibility,median_eigenspace_visibility,minimum_spectral_decay_rate,median_spectral_decay_rate,all_modes_observable,free_exact_residual,plus_exact_residual,minus_exact_residual
moons,29,17,8,0.47058823529411764,5.0,0.625,16000,1600.0,0.1,1.0063121454133175,0.00039633328073985114,1.0063123302737105,0.7188605745111908,7.23329983736095e-08,7.109062987281725e-08,5.203641736920847e-07,5.09762922998713e-07,3.1009507690225376e-07,3.062479896130736e-07,0.0018073508984822115,0.2945898401696252,0.3340832684797398,0.0012117286254820225,0.0014281331307613096,True,1.4242147221684103e-16,1.6112863938481381e-16,2.0935121378252557e-16
moons,29,17,8,0.47058823529411764,5.0,0.625,40000,4000.0,0.1,1.0063123263463374,2.4596810761696182e-05,1.0063123302737105,0.7189063405281555,3.0426809929298797e-09,2.9589369911054063e-09,2.1187209902875887e-08,2.056011018760196e-08,1.5637621391427434e-08,1.518641053696691e-08,0.0018073508985483357,0.2945898401696252,0.3340832684797398,0.0012117286254820225,0.0014281331307613096,True,1.4242147221684103e-16,1.6112863938481381e-16,2.0935121378252557e-16
moons,29,17,8,0.47058823529411764,5.0,0.625,80000,8000.0,0.1,1.0063123302257737,1.8268228920064515e-07,1.0063123302737105,0.7189070504209697,2.1644009257332518e-11,2.1742955166114233e-11,1.8197017504606468e-10,1.872259956549795e-10,1.1301198644037391e-10,1.1318665777199796e-10,0.0018073508985483357,0.2945898401696252,0.3340832684797398,0.0012117286254820225,0.0014281331307613096,True,1.4242147221684103e-16,1.6112863938481381e-16,2.0935121378252557e-16
moons,29,17,8,0.47058823529411764,5.0,0.625,160000,16000.0,0.1,1.0063123302736745,1.2680109315537893e-11,1.0063123302737105,0.7189070591664816,1.4436225432955577e-15,1.5675002997730197e-15,1.1392001907986714e-14,1.163359829682785e-14,2.4971845451441427e-15,3.244442676476907e-15,0.0018073508985483357,0.2945898401696252,0.3340832684797398,0.0012117286254820225,0.0014281331307613096,True,1.4242147221684103e-16,1.6112863938481381e-16,2.0935121378252557e-16
moons,29,17,17,1.0,5.0,0.29411764705882354,1000,100.0,0.1,1.0063133164187203,0.00019535414403489112,1.0063123302737105,0.7188517964790182,1.583385333113012e-08,1.699651555706509e-08,1.0906319394277652e-08,9.356850367573856e-09,1.3911787824005866e-08,1.6179624674483603e-08,0.0018073501456004198,0.9999999999999989,0.9999999999999993,0.14705882352941124,0.14705882352941146,True,1.4242147221684103e-16,1.6112863938481381e-16,2.0935121378252557e-16
moons,29,17,17,1.0,5.0,0.29411764705882354,4000,400.0,0.1,1.0063123302736856,4.8884441405303375e-12,1.0063123302737105,0.7189070591686096,1.835168829996089e-16,3.3753996686226514e-16,1.828447095542079e-16,1.8689183196632456e-16,6.216441530823238e-16,6.354093258525798e-16,0.0018073501456007325,0.9999999999999989,0.9999999999999993,0.14705882352941124,0.14705882352941146,True,1.4242147221684103e-16,1.6112863938481381e-16,2.0935121378252557e-16
moons,29,17,17,1.0,5.0,0.29411764705882354,16000,1600.0,0.1,1.0063123302736856,4.888444140167229e-12,1.0063123302737105,0.7189070591686096,1.8351449486145507e-16,3.3753622810172313e-16,1.8284676679763078e-16,1.8689183196632456e-16,6.216444735359802e-16,6.354093258525798e-16,0.0018073501456007325,0.9999999999999989,0.9999999999999993,0.14705882352941124,0.14705882352941146,True,1.4242147221684103e-16,1.6112863938481381e-16,2.0935121378252557e-16
moons,29,17,17,1.0,5.0,0.29411764705882354,40000,4000.0,0.1,1.0063123302736856,4.888444140350168e-12,1.0063123302737105,0.7189070591686096,1.835184106022627e-16,3.375408308016146e-16,1.828447095542079e-16,1.8689183196632456e-16,6.216441953176951e-16,6.354093258525798e-16,0.0018073501456007325,0.9999999999999989,0.9999999999999993,0.14705882352941124,0.14705882352941146,True,1.4242147221684103e-16,1.6112863938481381e-16,2.0935121378252557e-16
moons,29,17,17,1.0,5.0,0.29411764705882354,80000,8000.0,0.1,1.0063123302736856,4.888444140350168e-12,1.0063123302737105,0.7189070591686096,1.8351517775371976e-16,3.3753622810172313e-16,1.8284676679763078e-16,1.8689183196632456e-16,6.216441825435403e-16,6.354093258525798e-16,0.0018073501456007325,0.9999999999999989,0.9999999999999993,0.14705882352941124,0.14705882352941146,True,1.4242147221684103e-16,1.6112863938481381e-16,2.0935121378252557e-16
moons,29,17,17,1.0,5.0,0.29411764705882354,160000,16000.0,0.1,1.0063123302736856,4.888444140542129e-12,1.0063123302737105,0.7189070591686096,1.8351909347995653e-16,3.3753880707916526e-16,1.828447095542079e-16,1.8689183196632456e-16,6.216451433651153e-16,6.354093258525798e-16,0.0018073501456007325,0.9999999999999989,0.9999999999999993,0.14705882352941124,0.14705882352941146,True,1.4242147221684103e-16,1.6112863938481381e-16,2.0935121378252557e-16
